subject,status_file_exists,status,timestamp,output_directory,error_message,raw_content
00003,True,ERROR,2025-08-23 17:40:17.816534,/root/autodl-tmp/00003/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00003 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:17.816534
Output Directory: /root/autodl-tmp/00003/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00016,True,ERROR,2025-08-23 17:40:20.749513,/root/autodl-tmp/00016/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00016 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:20.749513
Output Directory: /root/autodl-tmp/00016/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00017,True,ERROR,2025-08-23 17:40:16.704045,/root/autodl-tmp/00017/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00017 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:16.704045
Output Directory: /root/autodl-tmp/00017/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00023,True,ERROR,2025-08-23 17:40:19.313524,/root/autodl-tmp/00023/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00023 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:19.313524
Output Directory: /root/autodl-tmp/00023/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00041,True,ERROR,2025-08-23 17:40:16.678996,/root/autodl-tmp/00041/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00041 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:16.678996
Output Directory: /root/autodl-tmp/00041/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00042,True,ERROR,2025-08-23 17:40:22.040101,/root/autodl-tmp/00042/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00042 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:22.040101
Output Directory: /root/autodl-tmp/00042/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00043,True,ERROR,2025-08-23 17:40:16.678663,/root/autodl-tmp/00043/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00043 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:16.678663
Output Directory: /root/autodl-tmp/00043/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00044,True,ERROR,2025-08-23 17:40:17.482476,/root/autodl-tmp/00044/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00044 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:17.482476
Output Directory: /root/autodl-tmp/00044/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00045,True,ERROR,2025-08-23 17:40:23.513140,/root/autodl-tmp/00045/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00045 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:23.513140
Output Directory: /root/autodl-tmp/00045/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00046,True,ERROR,2025-08-23 17:40:24.811331,/root/autodl-tmp/00046/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00046 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:24.811331
Output Directory: /root/autodl-tmp/00046/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
